               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.025186,            0.015332,           0.0028315,              0.8417,             0.82662,             0.88194,             0.68333,            0.021316,            0.013841,           0.0083229,             0.00769,             0.00769,             0.00769
                  37,            0.025531,            0.015217,           0.0029507,             0.85272,             0.85542,             0.89795,             0.69068,            0.021359,            0.013414,           0.0070656,            0.007624,            0.007624,            0.007624
                  38,            0.025415,            0.015698,           0.0031053,             0.85335,             0.88182,             0.88856,             0.67519,            0.021728,            0.013429,           0.0073461,            0.007558,            0.007558,            0.007558
                  39,            0.025152,            0.015364,           0.0028378,             0.84469,             0.84165,             0.88697,             0.70439,            0.020649,            0.013188,           0.0088369,            0.007492,            0.007492,            0.007492
                  40,            0.024683,            0.014864,           0.0032751,             0.85848,             0.85649,             0.88821,             0.69822,            0.019254,            0.012244,           0.0096835,            0.007426,            0.007426,            0.007426
                  41,            0.024332,            0.014222,           0.0027098,             0.88939,             0.84667,             0.90845,             0.70926,            0.019819,            0.012608,           0.0064565,             0.00736,             0.00736,             0.00736
                  42,            0.024096,            0.015151,           0.0028032,             0.84087,             0.86799,             0.89868,             0.70743,            0.020761,            0.013502,           0.0070175,            0.007294,            0.007294,            0.007294
                  43,            0.023934,            0.014538,           0.0028902,             0.87057,             0.85021,              0.8984,             0.71402,            0.019901,            0.013236,           0.0061419,            0.007228,            0.007228,            0.007228
                  44,            0.023896,            0.015455,           0.0023339,             0.86739,             0.85184,             0.88435,              0.6937,            0.020531,            0.013214,           0.0070652,            0.007162,            0.007162,            0.007162
                  45,            0.024297,            0.015035,           0.0028166,             0.86794,             0.87935,             0.90847,             0.71547,            0.019996,            0.012913,           0.0060923,            0.007096,            0.007096,            0.007096
                  46,            0.023874,             0.01456,           0.0024042,             0.84764,             0.89468,             0.90526,             0.70662,            0.021002,            0.013136,           0.0061314,             0.00703,             0.00703,             0.00703
                  47,            0.023732,            0.014526,           0.0025942,             0.83089,              0.8659,             0.89716,             0.71885,            0.019546,            0.013289,           0.0081553,            0.006964,            0.006964,            0.006964
                  48,            0.023256,            0.015815,            0.002927,             0.80677,             0.90082,              0.8983,             0.71104,            0.019608,            0.012965,           0.0078621,            0.006898,            0.006898,            0.006898
                  49,            0.022556,            0.014043,           0.0022781,             0.82498,             0.92013,             0.91921,             0.73639,            0.018777,             0.01232,           0.0063381,            0.006832,            0.006832,            0.006832
                  50,            0.022881,             0.01469,           0.0024408,             0.88331,             0.83044,             0.89728,             0.72763,            0.018872,            0.013244,           0.0068329,            0.006766,            0.006766,            0.006766
